lambda,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted,block_S1,lambda_eff,block_S2,abs_err_S1,abs_err_S2
1.0,10036,10036,0,0,0,0,10002,0.0,0.0,0.0,2.0339646695423514,1.7381648429196158e-11,0.9999999999826183,2.3841863586211263e-07,1.7381648429196158e-11,2.3841863586211263e-07
2.0,20029,20029,0,851,851,851,18902,0.0,0.04248839183184382,0.04248839183184382,6.666521018243167,4.455636423305513e-05,1.9999108872715339,0.04543328260189699,4.455636423305513e-05,0.0029448907700531657
3.0,29847,28772,1075,8060,8060,8060,20035,0.03601702013602707,0.2801334630891144,0.2801334630891144,13.017213714038148,0.043689320388349516,2.8689320388349513,0.30298468243134963,0.007672300252322448,0.02285121934223522
4.0,40051,29945,10106,8946,8946,8946,20214,0.25232828144116254,0.29874770412422774,0.29874770412422774,15.90584775236011,0.25035354434750773,2.998585822609969,0.3330639040388269,0.0019747370936548103,0.034316199914599166
