lambda,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
0.5,5031,5031,0,0,0,0,5014,0.0,0.0,0.0,1.673091548451554
1.0,10036,10036,0,0,0,0,10002,0.0,0.0,0.0,2.0339646695423514
1.5,14974,14974,0,11,11,11,14882,0.0,0.0007346066515293175,0.0007346066515293175,3.0488769272337017
2.0,20029,20029,0,851,851,851,18902,0.0,0.04248839183184382,0.04248839183184382,6.666521018243167
2.5,24903,24859,44,4699,4699,4699,19717,0.001766855398947918,0.18902610724486102,0.18902610724486102,10.473756663958616
3.0,29847,28772,1075,8060,8060,8060,20035,0.03601702013602707,0.2801334630891144,0.2801334630891144,13.017213714038148
4.0,40051,29945,10106,8946,8946,8946,20214,0.25232828144116254,0.29874770412422774,0.29874770412422774,15.90584775236011
