policy,dam_tb,population,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
fifo,20.0,ING,47920,15669,8,28,28,28,15636,0.0001669449081803005,0.0017869678983981109,0.0017869678983981109,6.677922750315388
fifo,20.0,PREPA,9535,9532,3,8,8,8,9483,0.0003146303093864709,0.000839278220730172,0.000839278220730172,6.658401013157448
fifo,,ING,47880,44594,3286,17887,17887,17887,25904,0.06862990810359232,0.40110777234605555,0.40110777234605555,20.60914125508654
fifo,,PREPA,9671,8971,700,2782,2782,2782,5986,0.07238134629304105,0.3101103555902352,0.3101103555902352,21.638534661497303
priority_ing,,ING,48108,45165,2943,18471,18471,18471,26109,0.0611748565727114,0.40896712055795414,0.40896712055795414,16.249348440651115
priority_ing,,PREPA,9779,9181,598,3068,3068,3068,5600,0.06115144697821863,0.334168391242784,0.334168391242784,47.08975305784812
split_servers,,ING,47930,41534,6396,14079,14079,14079,26872,0.1334446067181306,0.3389752973467521,0.3389752973467521,16.285109600436712
split_servers,,PREPA,9688,8387,1301,2610,2610,2610,5207,0.13428984310487202,0.31119589841421247,0.31119589841421247,53.494719885261276
