K,mu_f,ks,kf,tb,policy,population,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
2,1.0,10,5,10.0,fifo,ING,12753,3582,602,1445,1445,1445,2065,0.04720457931467106,0.40340591848129537,0.40340591848129537,7.685601406039385
2,1.0,10,5,10.0,fifo,PREPA,2461,2280,181,529,529,529,1722,0.07354733848029256,0.23201754385964912,0.23201754385964912,8.037762554110602
2,1.0,10,5,10.0,priority_ing,ING,12647,3673,506,1540,1540,1540,2065,0.04000948841622519,0.41927579635175605,0.41927579635175605,6.255132443839281
2,1.0,10,5,10.0,priority_ing,PREPA,2497,2358,139,545,545,545,1787,0.05566680016019223,0.23112807463952503,0.23112807463952503,9.799412207750537
2,1.0,10,5,10.0,split_servers,ING,12654,2763,1516,787,787,787,1934,0.11980401454085665,0.2848353239232718,0.2848353239232718,6.168596711213271
2,1.0,10,5,10.0,split_servers,PREPA,2574,2055,519,385,385,385,1609,0.20163170163170163,0.1873479318734793,0.1873479318734793,18.86017210717186
2,1.0,10,5,30.0,fifo,ING,12662,2916,1203,1325,1325,1325,1591,0.09500868741115148,0.4543895747599451,0.4543895747599451,8.553022216178377
2,1.0,10,5,30.0,fifo,PREPA,2612,2339,273,384,384,384,1906,0.10451761102603369,0.16417272338606242,0.16417272338606242,7.443768452329235
2,1.0,10,5,30.0,priority_ing,ING,12704,3260,901,1706,1706,1706,1554,0.07092254408060453,0.5233128834355828,0.5233128834355828,6.786484638263257
2,1.0,10,5,30.0,priority_ing,PREPA,2622,2423,199,397,397,397,1970,0.07589626239511824,0.16384647131654972,0.16384647131654972,9.457900514530781
2,1.0,10,5,30.0,split_servers,ING,12717,2313,1824,884,884,884,1429,0.14343005425807973,0.382187635105923,0.382187635105923,7.380710791944824
2,1.0,10,5,30.0,split_servers,PREPA,2589,2049,540,339,339,339,1658,0.2085747392815759,0.16544655929721816,0.16544655929721816,16.50375955099692
2,1.0,10,5,,fifo,ING,12649,7855,4794,4432,4432,4432,3331,0.37900229267135743,0.5642266072565245,0.5642266072565245,9.981448161018328
2,1.0,10,5,,fifo,PREPA,2505,1552,953,666,666,666,867,0.38043912175648703,0.42912371134020616,0.42912371134020616,10.801979277951324
2,1.0,10,5,,priority_ing,ING,12676,7966,4710,4467,4467,4467,3450,0.3715683180814137,0.560758222445393,0.560758222445393,6.9883612276068
2,1.0,10,5,,priority_ing,PREPA,2494,1573,921,735,735,735,777,0.3692862870890136,0.4672600127145582,0.4672600127145582,24.69653395810911
2,1.0,10,5,,split_servers,ING,12562,6262,6300,2684,2684,2684,3480,0.5015124980098711,0.42861705525391247,0.42861705525391247,11.538433306211711
2,1.0,10,5,,split_servers,PREPA,2632,1324,1308,614,614,614,689,0.4969604863221885,0.4637462235649547,0.4637462235649547,10.364876342765058
2,1.0,10,30,10.0,fifo,ING,12772,3591,670,1148,1148,1148,2288,0.05245850297525838,0.31968810916179335,0.31968810916179335,29.578024363289593
2,1.0,10,30,10.0,fifo,PREPA,2491,2312,179,406,406,406,1798,0.0718586912886391,0.17560553633217993,0.17560553633217993,30.30546396992709
2,1.0,10,30,10.0,priority_ing,ING,12542,3674,445,1224,1224,1224,2325,0.035480784563865414,0.3331518780620577,0.3331518780620577,28.329225290613255
2,1.0,10,30,10.0,priority_ing,PREPA,2529,2421,108,489,489,489,1809,0.042704626334519574,0.20198265179677818,0.20198265179677818,32.010526601530785
2,1.0,10,30,10.0,split_servers,ING,12734,2721,1491,387,387,387,2223,0.11708811057012722,0.1422271223814774,0.1422271223814774,23.445120568475293
