seed,K,mu_f,ks,kf,tb,policy,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
3,2,1.0,10,5,10.0,fifo,PREPA,600.0,359,327,32,79,79,79,245,7.778354215200082,16.994371997500618
4,2,1.0,10,5,10.0,fifo,ING,600.0,1813,554,67,249,249,249,298,7.297217501129298,10.61746593679837
4,2,1.0,10,5,10.0,fifo,PREPA,600.0,345,328,17,86,86,86,236,7.352247588291375,12.664226145226246
5,2,1.0,10,5,10.0,fifo,ING,600.0,1824,491,110,198,198,198,283,8.28057440168805,12.689172147861242
5,2,1.0,10,5,10.0,fifo,PREPA,600.0,372,344,28,69,69,69,270,8.34008789007594,13.54642710278592
6,2,1.0,10,5,10.0,fifo,ING,600.0,1764,484,91,188,188,188,283,7.601754925100754,15.439203563683575
6,2,1.0,10,5,10.0,fifo,PREPA,600.0,340,318,22,66,66,66,249,8.188826070848732,20.792339412336414
7,2,1.0,10,5,10.0,fifo,ING,600.0,1854,482,114,176,176,176,298,7.930451017530442,15.082922492197971
7,2,1.0,10,5,10.0,fifo,PREPA,600.0,375,347,28,79,79,79,264,8.827751723356501,19.44695470011187
1,2,1.0,10,5,10.0,priority_ing,ING,600.0,1841,549,86,235,235,235,302,6.512324885673546,12.161259927527341
1,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,339,313,26,78,78,78,232,10.878520580836122,26.741241605023784
2,2,1.0,10,5,10.0,priority_ing,ING,600.0,1818,493,81,198,198,198,287,6.478354329943619,11.658321869496087
2,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,368,342,26,76,76,76,266,11.529847267794347,23.009966584663776
3,2,1.0,10,5,10.0,priority_ing,ING,600.0,1827,565,44,242,242,242,311,6.005575276383336,8.636942637588907
3,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,342,329,13,69,69,69,255,8.658218239994978,16.249246862337685
4,2,1.0,10,5,10.0,priority_ing,ING,600.0,1811,510,91,211,211,211,294,6.039591973089339,10.40940308821027
4,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,370,352,18,78,78,78,265,10.004031031989419,21.608720562525836
5,2,1.0,10,5,10.0,priority_ing,ING,600.0,1820,511,86,210,210,210,290,6.243151102414162,10.478813247563718
5,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,341,328,13,75,75,75,252,9.889336515534225,30.3773894342584
6,2,1.0,10,5,10.0,priority_ing,ING,600.0,1706,497,63,203,203,203,285,6.069224442771586,10.610722226915726
6,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,364,345,19,77,77,77,266,8.704773210062752,18.500559902503525
7,2,1.0,10,5,10.0,priority_ing,ING,600.0,1824,548,55,241,241,241,296,6.443317403470928,9.968587547836545
7,2,1.0,10,5,10.0,priority_ing,PREPA,600.0,373,349,24,92,92,92,251,8.981263413528692,21.831813081954497
1,2,1.0,10,5,10.0,split_servers,ING,600.0,1834,401,220,120,120,120,275,6.6210609607816115,14.679936309869937
1,2,1.0,10,5,10.0,split_servers,PREPA,600.0,369,289,80,59,59,59,222,19.137430548558207,69.01963526245163
2,2,1.0,10,5,10.0,split_servers,ING,600.0,1779,320,264,81,81,81,236,5.632828437812531,11.65339343937838
2,2,1.0,10,5,10.0,split_servers,PREPA,600.0,398,301,97,52,52,52,240,21.28262993936141,62.306103609468096
3,2,1.0,10,5,10.0,split_servers,ING,600.0,1733,368,230,81,81,81,277,5.248457538661295,9.992060149029982
3,2,1.0,10,5,10.0,split_servers,PREPA,600.0,392,300,92,47,47,47,246,19.404476602551327,66.54455605161513
4,2,1.0,10,5,10.0,split_servers,ING,600.0,1817,399,215,114,114,114,277,6.239855374215976,10.960347736670489
4,2,1.0,10,5,10.0,split_servers,PREPA,600.0,368,306,62,50,50,50,247,18.695459974892124,45.79448784636225
5,2,1.0,10,5,10.0,split_servers,ING,600.0,1866,457,168,163,163,163,291,7.331164642201138,17.215506691971765
5,2,1.0,10,5,10.0,split_servers,PREPA,600.0,340,292,48,67,67,67,216,17.154349728169624,55.05533260960193
6,2,1.0,10,5,10.0,split_servers,ING,600.0,1768,402,216,114,114,114,281,5.997112817277012,10.95463487402716
6,2,1.0,10,5,10.0,split_servers,PREPA,600.0,345,268,77,49,49,49,209,19.21891326079679,84.33752082588124
7,2,1.0,10,5,10.0,split_servers,ING,600.0,1857,416,203,114,114,114,297,5.990257490051818,9.936708570900509
7,2,1.0,10,5,10.0,split_servers,PREPA,600.0,362,299,63,61,61,61,229,16.92709118950091,59.32367245539532
1,2,1.0,10,5,30.0,fifo,ING,600.0,1862,402,172,185,185,185,217,9.180942412500112,13.41935844399121
1,2,1.0,10,5,30.0,fifo,PREPA,600.0,362,321,41,51,51,51,264,7.507100768514759,14.774535566183395
2,2,1.0,10,5,30.0,fifo,ING,600.0,1767,434,158,204,204,204,230,8.297806532654963,11.662979423384252
