tb,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
5.0,48016,16029,0,4,4,4,16002,0.0,0.00024954769480316924,0.00024954769480316924,4.291380094252111
10.0,47877,15847,0,12,12,12,15755,0.0,0.0007572411181927178,0.0007572411181927178,5.1606754833400075
20.0,47920,15669,8,28,28,28,15636,0.0001669449081803005,0.0017869678983981109,0.0017869678983981109,6.677922750315388
40.0,48696,15841,50,794,794,794,15017,0.0010267783801544274,0.050123098289249414,0.050123098289249414,10.286860675721082
